Class,regulators,gene,locus_tag,t0,t1,t2,t3,t4,t5,t6,t7,t8,g135,g150,g180
E,Spo0A+,skfG,BSU01970,0,1.7,3.8,3.2,2.8,1.8,0.8,1.1,-0.1,-1,-1,-0.8
E,Spo0A+,skfH,BSU01980,0,1.7,3.9,3.3,2.9,1.9,0.9,1.4,0.6,-0.7,-0.9,-0.7
E,Spo0A+,spo0A,BSU24220,0,1.2,2.5,1.6,1.3,1.2,0.8,0.7,0.7,0.1,-0.1,0.2
E,Spo0A+,spo0F,BSU37130,0,0.6,2.1,0.1,-0.2,-0.8,-1.1,-0.9,-1.7,-1,-1.1,-0.9
E,Spo0A+,spoIIE,BSU00640,0,-0.4,5.7,5.3,4.5,4.1,3.1,3.9,3.5,3.2,2.7,3.1
E,Spo0A+,spoIIGA,BSU15310,0,0.4,5.8,6,5.5,4.9,4.2,4.7,4,0.2,0.4,0.1
E,Spo0A+,yerB,BSU06570,0,-1.8,-0.5,-0.9,-0.7,-0.7,-1.4,-1.2,-1.2,-0.8,-1,-1.2
E,Spo0A+,yerC,BSU06580,0,-2,-0.8,-1.3,-0.9,-1.1,-1.5,-1.4,-1.2,-1,-1.4,-1.3
E,Spo0A+,yfmJ,BSU07450,0,1.1,1.8,0.5,-0.1,-0.6,-0.9,-1,-1.6,-0.2,-0.1,-0.4
E,Spo0A+,yjcM,BSU11910,0,1,-0.2,-2.1,-2.3,-3.3,-4.9,-3.8,-3.6,-2.6,-1.3,-2.5
E,Spo0A+,ykuJ,BSU14100,0,0.3,0,0.4,1.3,1.4,0.2,0.3,0.1,1.6,1.7,1.7
E,Spo0A+,ykuK,BSU14110,0,0.2,-0.1,0.4,1,1,0,0.1,-0.3,1.8,1.6,1.5
E,Spo0A+,ykuL,BSU14130,0,0.4,1.3,0.8,1.1,0.9,-0.7,0,-0.9,-0.8,0.2,-0.8
E,Spo0A+,yneF,BSU17910,0,0.4,0.6,0.1,-0.1,-0.4,-2.1,-1,-1.5,0.9,1.1,1
