geneP,locus_tag,locus_tag2,gene1,gene3,gene4,gene5
yxaF,BSU39990,,,,,
yxnA,BSU40000,,,,,
yxaD,BSU40010,,,,,
yxaC,BSU40020,,,,,
yxzK,BSU40021,,,,,
yxaB,BSU40030,,,,,
glxK,BSU40040,,yxaA,,,
gntR,BSU40050,,,,,
gntK,BSU40060,,,,,
gntP,BSU40070,,,,,
gntZ,BSU40080,,,,,
ahpC,BSU40090,,,,,
ahpF,BSU40100,,ndh,,,
bglA,BSU40110,,,,,
yyzE,BSU40120,,,,,
yydK,BSU40130,,,,,
yyzN,BSU40139,,,,,
yydJ,BSU40140,,,,,
yydI,BSU40150,,,,,
yydH,BSU40160,,,,,
yydG,BSU40170,,,,,
yydF,BSU40180,,,,,
fbp,BSU40190,,yydE,,,
yydD,BSU40200,,,,,
yydC,BSU40210,,,,,
yydB,BSU40220,,,,,
rlmH,BSU40230,,yydA,,,
yyzF,BSU40239,,,,,
yycS,BSU40240,,,,,
yycR,BSU40250,,,,,
yyzG,BSU40259,,,,,
yycQ,BSU40260,,,,,
yycP,BSU40270,,,,,
yycO,BSU40280,,,,,
yycN,BSU40290,,,,,
rapG,BSU40300,,yycM,,,
phrG,BSU40310,,yycL,,,
rocF,BSU40320,,,,,
rocE,BSU40330,,,,,
rocD,BSU40340,,,,,
rocR,BSU40350,,,,,
yyxA,BSU40360,,yycK,,,
yycJ,BSU40370,,,,,
yycI,BSU40380,,,,,
yycH,BSU40390,,,,,
walK,BSU40400,,yycG,,,
walR,BSU40410,,yycF,,,
purA,BSU40420,,,,,
yycE,BSU40430,,,,,
dnaC,BSU40440,,,,,
yycD,BSU40450,,,,,
yyzB,BSU40460,,,,,
yycC,BSU40470,,,,,
yycB,BSU40480,,,,,
yycA,BSU40490,,,,,
rplI,BSU40500,,,,,
gdpP,BSU40510,,yybT,,,
yybS,BSU40520,,,,,
yyzH,BSU40529,,,,,
cotF,BSU40530,,,,,
yybR,BSU40540,,,,,
ppaC,BSU40550,,,,,
yybP,BSU40560,,,,,
yybO,BSU40570,,,,,
yybN,BSU40580,,,,,
yybM,BSU40590,,,,,
yybL,BSU40600,,,,,
yybK,BSU40610,,,,,
yybJ,BSU40620,,,,,
yybI,BSU40630,,,,,
yybH,BSU40640,,,,,
yybG,BSU40650,,,,,
yybF,BSU40660,,,,,
yybE,BSU40670,,,,,
yybD,BSU40680,,,,,
yybC,BSU40690,,,,,
yybB,BSU40700,,,,,
yybA,BSU40710,,,,,
yyaT,BSU40720,,,,,
yyaS,BSU40730,,,,,
satA,BSU40740,,yyaR,,,
yyaQ,BSU40750,,,,,
yyaP,BSU40760,,,,,
tetB,BSU40770,,tet,,,
tetL,BSU40780,,,,,
yyaO,BSU40790,,,,,
yyaN,BSU40800,,,,,
yyaM,BSU40810,,,,,
yyaL,BSU40820,,,,,
yyaK,BSU40830,,,,,
yyaJ,BSU40840,,,,,
maa,BSU40850,,yyaI,,,
yyaH,BSU40860,,,,,
ccpB,BSU40870,,yyaG,,,
exoA,BSU40880,,,,,
rpsR,BSU40890,,,,,
ssbA,BSU40900,,,,,
rpsF,BSU40910,,,,,
ychF,BSU40920,,engD,yyaF,,
yyaE,BSU40930,,,,,
yyzM,BSU40939,,,,,
yyaD,BSU40940,,,,,
yyaC,BSU40950,,,,,
spo0J,BSU40960,,,,,
soj,BSU40970,,orf253,,,
yyaB,BSU40980,,,,,
noc,BSU40990,,yyaA,,,
rsmG,BSU41000,,gidB,,,
mnmG,BSU41010,,gidA,,,
mnmE,BSU41020,,thdF,trmE,,
jag,BSU41030,,,,,
misCA,BSU41040,,spoIIIJ,,,
rnpA,BSU41050,,,,,
rpmH,BSU41060,,,,,
yrpDX,,,,,,
fbpA,,,,,,
yrzP,,,,,,
spoIISC,,,,,,
fbpC,,,,,,
ybbU,,,,,,
yzzP,,,,,,
lysCB,,,,,,
yjcB,,,,,,
